"Murder"t"Assault"t"UrbanPop"t"Rape"
"Alabama"t13,2t236t58t21,2
"Alaska"t10t263t48t44,5
"Arizona"t8,1t294t80t31
"Arkansas"t8,8t190t50t19,5
"California"t9t276t91t40,6
"Colorado"t7,9t204t78t38,7
"Connecticut"t3,3t110t77t11,1
"Delaware"t5,9t238t72t15,8
"Florida"t15,4t335t80t31,9
"Georgia"t17,4t211t60t25,8
"Hawaii"t5,3t46t83t20,2
"Idaho"t2,6t120t54t14,2
"Illinois"t10,4t249t83t24
"Indiana"t7,2t113t65t21
"Iowa"t2,2t56t57t11,3
"Kansas"t6t115t66t18
"Kentucky"t9,7t109t52t16,3
"Louisiana"t15,4t249t66t22,2
"Maine"t2,1t83t51t7,8
"Maryland"t11,3t300t67t27,8
"Massachusetts"t4,4t149t85t16,3
"Michigan"t12,1t255t74t35,1
"Minnesota"t2,7t72t66t14,9
"Mississippi"t16,1t259t44t17,1
"Missouri"t9t178t70t28,2
"Montana"t6t109t53t16,4
"Nebraska"t4,3t102t62t16,5
"Nevada"t12,2t252t81t46
"New Hampshire"t2,1t57t56t9,5
"New Jersey"t7,4t159t89t18,8
"New Mexico"t11,4t285t70t32,1
"New York"t11,1t254t86t26,1
"North Carolina"t13t337t45t16,1
"North Dakota"t0,8t45t44t7,3
"Ohio"t7,3t120t75t21,4
"Oklahoma"t6,6t151t68t20
"Oregon"t4,9t159t67t29,3
"Pennsylvania"t6,3t106t72t14,9
"Rhode Island"t3,4t174t87t8,3
"South Carolina"t14,4t279t48t22,5
"South Dakota"t3,8t86t45t12,8
"Tennessee"t13,2t188t59t26,9
"Texas"t12,7t201t80t25,5
"Utah"t3,2t120t80t22,9
"Vermont"t2,2t48t32t11,2
"Virginia"t8,5t156t63t20,7
"Washington"t4t145t73t26,2
"West Virginia"t5,7t81t39t9,3
"Wisconsin"t2,6t53t66t10,8
"Wyoming"t6,8t161t60t15,6
